,Symbol,Company Name
151,SUPREMEIND,Supreme Industries Limited
152,GUJGASLTD,Gujarat Gas Limited
153,BANDHANBNK,Bandhan Bank Limited
154,ACC,ACC Limited
155,OBEROIRLTY,Oberoi Realty Limited
156,BANKINDIA,Bank of India
157,RECLTD,REC Limited
158,AUROPHARMA,Aurobindo Pharma Limited
159,STARHEALTH,Star Health and Allied Insurance Company Limited
160,IGL,Indraprastha Gas Limited
161,LUPIN,Lupin Limited
162,UCOBANK,UCO Bank
163,JUBLFOOD,Jubilant Foodworks Limited
164,POLICYBZR,PB Fintech Limited
165,GODREJPROP,Godrej Properties Limited
166,M&MFIN,Mahindra & Mahindra Financial Services Limited
167,IDEA,Vodafone Idea Limited
168,OFSS,Oracle Financial Services Software Limited
169,FEDERALBNK,The Federal Bank  Limited
170,MANYAVAR,Vedant Fashions Limited
171,UNOMINDA,UNO Minda Limited
172,AIAENG,AIA Engineering Limited
173,THERMAX,Thermax Limited
174,OIL,Oil India Limited
175,VOLTAS,Voltas Limited
176,3MINDIA,3M India Limited
177,COROMANDEL,Coromandel International Limited
178,SUNDARMFIN,Sundaram Finance Limited
179,KPITTECH,KPIT Technologies Limited
180,DEEPAKNTR,Deepak Nitrite Limited
181,ESCORTS,Escorts Kubota Limited
182,BIOCON,Biocon Limited
183,TATACHEM,Tata Chemicals Limited
184,TORNTPOWER,Torrent Power Limited
185,GMRINFRA,GMR Airports Infrastructure Limited
186,BHEL,Bharat Heavy Electricals Limited
187,SONACOMS,Sona BLW Precision Forgings Limited
188,DELHIVERY,Delhivery Limited
189,SYNGENE,Syngene International Limited
190,CRISIL,CRISIL Limited
191,GICRE,General Insurance Corporation of India
192,COFORGE,Coforge Limited
193,PHOENIXLTD,The Phoenix Mills Limited
194,JKCEMENT,JK Cement Limited
195,POONAWALLA,Poonawalla Fincorp Limited
196,GLAXO,GlaxoSmithKline Pharmaceuticals Limited
197,MFSL,Max Financial Services Limited
198,METROBRAND,Metro Brands Limited
199,MSUMI,Motherson Sumi Wiring India Limited
200,SUMICHEM,Sumitomo Chemical India Limited
201,RELAXO,Relaxo Footwears Limited
202,NAVINFLUOR,Navin Fluorine International Limited
203,SKFINDIA,SKF India Limited
204,CENTRALBK,Central Bank of India
205,GLAND,Gland Pharma Limited
206,KANSAINER,Kansai Nerolac Paints Limited
207,GRINDWELL,Grindwell Norton Limited
208,TIMKEN,Timken India Limited
209,IPCALAB,IPCA Laboratories Limited
210,SUNDRMFAST,Sundram Fasteners Limited
211,ATUL,Atul Limited
212,ZEEL,Zee Entertainment Enterprises Limited
213,L&TFH,L&T Finance Holdings Limited
214,ABFRL,Aditya Birla Fashion and Retail Limited
215,APOLLOTYRE,Apollo Tyres Limited
216,KPRMILL,K.P.R. Mill Limited
217,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
218,FORTIS,Fortis Healthcare Limited
219,AARTIIND,Aarti Industries Limited
220,HATSUN,Hatsun Agro Product Limited
221,CARBORUNIV,Carborundum Universal Limited
222,CROMPTON,Crompton Greaves Consumer Electricals Limited
223,VINATIORGA,Vinati Organics Limited
224,IIFL,IIFL Finance Limited
225,BATAINDIA,Bata India Limited
226,BDL,Bharat Dynamics Limited
227,LICHSGFIN,LIC Housing Finance Limited
228,RAJESHEXPO,Rajesh Exports Limited
229,RAMCOCEM,The Ramco Cements Limited
230,ENDURANCE,Endurance Technologies Limited
231,DEVYANI,Devyani International Limited
232,PSB,Punjab & Sind Bank
233,DIXON,Dixon Technologies (India) Limited
234,KAJARIACER,Kajaria Ceramics Limited
235,WHIRLPOOL,Whirlpool of India Limited
236,MAHABANK,Bank of Maharashtra
237,SUNTV,Sun TV Network Limited
238,PEL,Piramal Enterprises Limited
239,PRESTIGE,Prestige Estates Projects Limited
240,NIACL,The New India Assurance Company Limited
241,RADICO,Radico Khaitan Limited
242,PFIZER,Pfizer Limited
243,NH,Narayana Hrudayalaya Ltd.
244,EMAMILTD,Emami Limited
245,LAURUSLABS,Laurus Labs Limited
246,FIVESTAR,Five-Star Business Finance Limited
247,AJANTPHARM,Ajanta Pharma Limited
248,INDIAMART,Indiamart Intermesh Limited
249,360ONE,360 ONE WAM LIMITED
250,KEI,KEI Industries Limited
251,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
252,LALPATHLAB,Dr. Lal Path Labs Ltd.
253,JSL,Jindal Stainless Limited
254,IRB,IRB Infrastructure Developers Limited
255,EXIDEIND,Exide Industries Limited
256,PVR,PVR Limited
257,GSPL,Gujarat State Petronet Limited
258,BLUEDART,Blue Dart Express Limited
259,NATIONALUM,National Aluminium Company Limited
260,RVNL,Rail Vikas Nigam Limited
261,CREDITACC,CREDITACCESS GRAMEEN LIMITED
262,TRIDENT,Trident Limited
263,POWERINDIA,Hitachi Energy India Limited
264,MEDANTA,Global Health Limited
265,GILLETTE,Gillette India Limited
266,RATNAMANI,Ratnamani Metals & Tubes Limited
267,ELGIEQUIP,Elgi Equipments Limited
268,ISEC,ICICI Securities Limited
269,CGCL,Capri Global Capital Limited
270,GODREJIND,Godrej Industries Limited
271,CLEAN,Clean Science and Technology Limited
272,MAZDOCK,Mazagon Dock Shipbuilders Limited
273,MAHINDCIE,Mahindra CIE Automotive Limited
274,AEGISCHEM,Aegis Logistics Limited
275,FACT,Fertilizers and Chemicals Travancore Limited
276,BLUESTARCO,Blue Star Limited
277,SANOFI,Sanofi India Limited
278,FINEORG,Fine Organic Industries Limited
279,AFFLE,Affle (India) Limited
280,GLENMARK,Glenmark Pharmaceuticals Limited
281,NAM-INDIA,Nippon Life India Asset Management Limited
282,SJVN,SJVN Limited
283,REDINGTON,Redington Limited
284,AAVAS,Aavas Financiers Limited
285,IDFC,IDFC Limited
286,FINCABLES,Finolex Cables Limited
